rw,sindy
310.8453431,289.6451694
349.6194716,351.1914709
382.4481969,373.5962294
586.2350791,588.1327765
234.2609627,233.5106943
581.0384309,573.7583446
209.1795524,207.5678158
549.7536057,556.147396
498.5029604,466.9673286
375.8663128,368.1145594
563.8026105,566.9703428
483.5638229,43.83698368
537.5625477,543.0280156
511.0035986,509.5672869
565.2244219,551.7340836
399.1004516,405.6776056
529.0567988,528.6365088
565.2185396,562.653611
354.2452533,369.3308333
324.2377328,315.2898362
495.2229474,492.7527357
481.3942281,486.7629596
553.6653464,556.2649098
557.0601671,594.1875569
530.0268103,529.9251561
497.6561974,501.9164483
355.7580772,362.5505968
457.946478,463.1153832
484.9933139,485.5951166
495.3512048,500.5183892
466.8824885,456.7066581
372.8845115,386.1624997
354.3703586,356.5693428
452.0806445,459.4986586
542.5384754,538.6410079
556.7810583,541.2537716
515.3183841,517.8921374
533.541331,527.3207657
470.5359642,471.7294592
285.1637218,295.8351175
507.0908644,499.9699374
541.1566216,603.6609383
557.7702125,563.0378148
548.5439387,43.76771398
415.5399238,422.8746925
459.9465227,465.2221454
564.5970323,566.0923108
578.5041138,584.5425496
586.023276,586.6235013
303.5868329,307.7174445
554.4094015,557.742825
452.031391,456.8148791
282.3611772,290.8871283
289.6794104,293.2490885
420.9458243,423.1529997
345.3785165,359.961998
286.8914427,281.1034065
427.1955599,431.5024861
556.8121278,560.8670691
391.9672823,383.6236371
574.9663337,564.7413967
540.7959135,546.3228417
400.9657445,402.8993969
578.055089,580.9364259
453.6807349,459.6290051
562.6501474,561.4001505
371.7879738,382.9899434
588.1324433,564.4120716
479.1317247,483.4896581
556.7580178,555.6177655
566.3034025,569.239875
486.7029864,487.9874894
577.7738309,584.0725237
374.3241634,390.7611768
536.2976276,538.7410882
312.0941978,318.2244549
554.0855296,547.0164746
575.2480964,43.74973285
390.5451582,396.56215
443.0765032,450.2757725
559.8616035,565.4260083
334.5381289,288.224098
339.4583824,342.814195
584.2701842,588.6439994
529.4249935,500.4349291
582.8530051,586.2656741
582.2864199,585.043035
367.367422,379.21776
481.4913646,487.8662121
391.6365527,406.6653132
559.0982376,560.4540108
579.3141536,583.993397
462.8297287,465.4452383
516.7030321,523.3646382
587.997897,43.73140753
497.5187544,491.9184863
580.1131998,582.5982969
497.8577097,486.726784
569.0148803,43.76834172
464.8030657,468.7643822
